C34-Economy0002.txt 1426989715
C16-Electronics02.txt 1426988787
C19-Computer0006.txt 1426986912
file2.txt 1426943207
file1.txt 1426943167
C32-Agriculture0002.txt	1427101456
C32-Agriculture0002.txt	1427101485
file.txt	1427166719
1427352668	C34-Economy0003.txt
1427352751	C34-Economy0004.txt
1427352869	C34-Economy0006.txt
1427353080	C34-Economy0008.txt
1427353205	C34-Economy0010.txt
1427353406	C34-Economy0012.txt
1427353588	C34-Economy0014.txt
1427353698	C34-Economy0016.txt
1427353813	C34-Economy0018.txt
1427354017	C34-Economy0020.txt
1427354170	C34-Economy0022.txt
1427354505	C34-Economy0024.txt
1427354710	C34-Economy0026.txt
1427765874	economy.txt
1427770652	C11-Space0027.txt
1427770749	C19-Computer0010.txt
1427770830	C3-Art0015.txt
1427771023	C31-Enviornment0005.txt
1427771023	C32-Agriculture0013.txt
1427771122	C38-Politics0014.txt
1427771284	C39-Sports0017.txt
1427771438	C6-Philosophy04.txt
1427771457	C7-History002.txt
1427774222	C31-Enviornment0005.txt
1427774288	C31-Enviornment0005.txt
1427788590	C6-Philosophy04.txt
1427788658	file.txt
1427788767	C6-Philosophy20.txt
1428652919	C19-Computer0001.txt
1428652919	C19-Computer0004.txt
1428653198	C19-Computer0012.txt
1428653350	C19-Computer0018.txt
1428653674	C19-Computer0020.txt
1428653915	C19-Computer0036.txt
1428654104	C19-Computer0038.txt
1428654375	C19-Computer0044.txt
1428654517	C19-Computer0048.txt
1428654721	C19-Computer0058.txt
1428654871	C19-Computer0062.txt
1428655413	C32-Agriculture0002.txt
1428655564	C32-Agriculture0005.txt
1428655845	C32-Agriculture0007.txt
1428656176	C32-Agriculture0011.txt
1428656296	C32-Agriculture0015.txt
1428656537	C32-Agriculture0017.txt
1428656894	C32-Agriculture0019.txt
1428657148	C32-Agriculture0023.txt
1428657572	C32-Agriculture0027.txt
1428657859	C32-Agriculture0031.txt
1428658151	C32-Agriculture0035.txt
1428660297	C3-Art0003.txt
1428660611	C3-Art0005.txt
1428660978	C3-Art0007.txt
1428661254	C3-Art0011.txt
1428661714	C3-Art0017.txt
1428662023	C3-Art0021.txt
1428662429	C3-Art0023.txt
1428662991	C3-Art0029.txt
1428663342	C3-Art0035.txt
1428663754	C3-Art0037.txt
1428665231	C7-History004.txt
1428665595	C7-History010.txt
1428666105	C7-History014.txt
1428666377	C7-History018.txt
1428666686	C7-History021.txt
1428666878	C7-History029.txt
1428667033	C7-History037.txt
1428667234	C7-History039.txt
1428667552	C7-History041.txt
1428667949	C7-History045.txt
1428668619	C31-Enviornment0003.txt
1428668938	C31-Enviornment0007.txt
1428669332	C31-Enviornment0009.txt
1428669526	C31-Enviornment0011.txt
1428669872	C31-Enviornment0013.txt
1428670300	C31-Enviornment0019.txt
1428670495	C31-Enviornment0025.txt
1428670850	C31-Enviornment0029.txt
1428671130	C31-Enviornment0035.txt
1428671325	C31-Enviornment0039.txt
1428708617	C38-Politics0002.txt
1428708717	C38-Politics0004.txt
1428708833	C38-Politics0008.txt
1428708955	C38-Politics0010.txt
1428709057	C38-Politics0012.txt
1428709208	C38-Politics0019.txt
1428709289	C38-Politics0021.txt
1428709461	C38-Politics0029.txt
1428709560	C38-Politics0033.txt
1428709656	C38-Politics0039.txt
1428709810	C38-Politics0041.txt
1428709952	C38-Politics0059.txt
1428710072	C38-Politics0067.txt
1428724255	C11-Space0003.txt
1428724366	C11-Space0007.txt
1428724422	C11-Space0009.txt
1428724517	C11-Space0015.txt
1428724705	C11-Space0017.txt
1428724788	C11-Space0025.txt
1428724933	C11-Space0029.txt
1428725035	C11-Space0037.txt
1428725208	C11-Space0043.txt
1428725462	C11-Space0051.txt
1428738766	C39-Sports0001.txt
1428738905	C39-Sports0003.txt
1428739048	C39-Sports0005.txt
1428739184	C39-Sports0009.txt
1428739344	C39-Sports0013.txt
1428739446	C39-Sports0019.txt
1428739581	C39-Sports0023.txt
1428739677	C39-Sports0027.txt
1428739947	C39-Sports0029.txt
1428740191	C39-Sports0041.txt
1428740349	C39-Sports0043.txt
1428740549	C39-Sports0047.txt
1428740701	C39-Sports0055.txt
1428741958	C6-Philosophy08.txt
1428742199	C6-Philosophy14.txt
1428742389	C6-Philosophy22.txt
1428742512	C6-Philosophy32.txt
1428742806	C6-Philosophy39.txt
1428743084	C6-Philosophy43.txt
1428744077	C6-Philosophy47.txt
1428751313	C6-Philosophy71.txt
1428751376	C6-Philosophy80.txt
1428751644	C6-Philosophy86.txt
